auctions,bandwidth_exponent,method,repetitions,bandwidth,population_target_bias,mean_estimate,bias_exact,rmse_exact,mean_standard_error,exact_coverage,target_coverage,multiple_root_rate,missing_root_rate,mean_root_gap,outside_grid_rate
500,0.2,$n^{-0.2}$ DML,200,0.15,0.0599766780442772,0.8313571347318789,0.05950042704975804,0.0690480231944782,0.033497349148652676,0.635,0.9,0.0,0.0,0.0329775249035401,0.0
500,0.2,$n^{-0.2}$ Richardson,200,0.15,0.0268503656764171,0.7998676459867436,0.028010938304622767,0.060434283752344935,0.04997676759969946,0.885,0.895,0.0,0.0,0.0329775249035401,0.0
500,0.35,$n^{-0.35}$ DML,200,0.15,0.0599766780442772,0.8313571347318789,0.05950042704975804,0.0690480231944782,0.033497349148652676,0.635,0.9,0.0,0.0,0.0329775249035401,0.0
500,0.35,$n^{-0.35}$ Richardson,200,0.15,0.0268503656764171,0.7998676459867436,0.028010938304622767,0.060434283752344935,0.04997676759969946,0.885,0.895,0.0,0.0,0.0329775249035401,0.0
2000,0.2,$n^{-0.2}$ DML,200,0.1136787424882798,0.0409294565497637,0.8171007074086936,0.04524399972657259,0.05120517864192291,0.02563449532395268,0.59,0.95,0.0,0.0,0.02279572939399991,0.0
2000,0.2,$n^{-0.2}$ Richardson,200,0.1136787424882798,0.0161718304016581,0.7944523751535363,0.02259566747141531,0.041998791005488666,0.03855681703360013,0.925,0.94,0.0,0.0,0.02279572939399991,0.0
2000,0.35,$n^{-0.35}$ DML,200,0.0923358310008687,0.0300725018987824,0.8070613759003962,0.03520466821827527,0.048158006828717057,0.034268684759419556,0.82,0.93,0.005,0.0,0.019834934306364026,0.0
2000,0.35,$n^{-0.35}$ Richardson,200,0.0923358310008687,0.0104071347990963,0.7890587198582294,0.01720201217610844,0.053169791176596405,0.05135475782425911,0.875,0.905,0.005,0.0,0.019834934306364026,0.0
10000,0.2,$n^{-0.2}$ DML,200,0.0823920407479588,0.0251877131919352,0.7984144861924145,0.026557778510293478,0.03270076818691923,0.017231840852213944,0.6,0.93,0.0,0.0,0.017524368283883148,0.0
10000,0.2,$n^{-0.2}$ Richardson,200,0.0823920407479588,0.0079777727718191,0.7809087638556872,0.009052056173566294,0.029611876034951252,0.025469318837891993,0.885,0.93,0.0,0.0,0.017524368283883148,0.0
10000,0.35,$n^{-0.35}$ DML,200,0.0525691264789565,0.0118499272403383,0.7852005294934861,0.013343821811365241,0.03535660634830111,0.02892719055661792,0.82,0.87,0.305,0.0,0.011925572715221695,0.0
10000,0.35,$n^{-0.35}$ Richardson,200,0.0525691264789565,0.0023427226441282,0.7759108703472707,0.00405416266514976,0.04594986068841211,0.04131524460519467,0.84,0.85,0.305,0.0,0.011925572715221695,0.0
