auctions,repetition,bidders,true_reserve,method,reserve_estimate,reserve_error,absolute_reserve_error,revenue_regret,max_bid_w1,latent_value_w1,validation_max_bid_w1,fold_reserve_sd,pooled_reserve,training_auctions
500,1,5,0.7718567076821209,Direct inversion,0.8199292897262774,0.0480725820441565,0.0480725820441565,0.0001232245550437,,,,,,500
500,2,5,0.7718567076821209,Direct inversion,0.8895461394685334,0.1176894317864125,0.1176894317864125,0.0011234999416713,,,,,,500
500,3,5,0.7718567076821209,Direct inversion,0.8132457069570891,0.0413889992749682,0.0413889992749682,8.742972959585593e-05,,,,,,500
500,4,5,0.7718567076821209,Direct inversion,0.867908126088497,0.0960514184063761,0.0960514184063761,0.0006615631983915,,,,,,500
500,5,5,0.7718567076821209,Direct inversion,0.7320805374795188,-0.039776170202602,0.039776170202602,4.529813904641245e-05,,,,,,500
500,1,5,0.7718567076821209,WGAN-GP,0.7982268929481506,0.0263701852660297,0.0263701852660297,3.209443181972915e-05,0.0459476657787988,0.1185727858865397,,,,500
500,2,5,0.7718567076821209,WGAN-GP,0.7485918998718262,-0.0232648078102947,0.0232648078102947,1.7544682855419325e-05,0.0336817812285881,0.1009760816971872,,,,500
500,3,5,0.7718567076821209,WGAN-GP,0.6587429642677307,-0.1131137434143901,0.1131137434143901,0.0002048668545466,0.0390545806250458,0.0504003106559282,,,,500
500,4,5,0.7718567076821209,WGAN-GP,0.7711707353591919,-0.0006859723229289,0.0006859723229289,1.7995091194933366e-08,0.0373393033622764,0.1023548473938403,,,,500
500,5,5,0.7718567076821209,WGAN-GP,0.673907995223999,-0.0979487124581218,0.0979487124581218,0.000173748899144,0.0388071207065232,0.0601642217986966,,,,500
500,1,5,0.7718567076821209,Fold-averaged WGAN,0.7324635982513428,-0.0393931094307781,0.0393931094307781,4.455950230775052e-05,,0.0723416541252287,0.0661755562657698,0.0412885468992492,0.73847895860672,333
500,2,5,0.7718567076821209,Fold-averaged WGAN,0.7556543151537577,-0.0162023925283631,0.0162023925283631,8.965009210992747e-06,,0.096134134915782,0.0927661786073088,0.037702105525534,0.7586879730224609,333
500,3,5,0.7718567076821209,Fold-averaged WGAN,0.7125745018323263,-0.0592822058497946,0.0592822058497946,8.657366456210625e-05,,0.0737624818501091,0.0913744587177578,0.0096191548453451,0.7076030373573303,333
500,4,5,0.7718567076821209,Fold-averaged WGAN,0.7357341249783834,-0.0361225827037374,0.0361225827037374,3.8409087965041167e-05,,0.0899089665044993,0.0807011285530514,0.0202846065188774,0.7478439807891846,333
500,5,5,0.7718567076821209,Fold-averaged WGAN,0.76017298301061,-0.0116837246715109,0.0116837246715109,4.818489738989129e-06,,0.0955020467897008,0.1115784591672236,0.0639171167100686,0.7666782736778259,333
2000,1,5,0.7718567076821209,Direct inversion,0.7828352810051603,0.0109785733230394,0.0109785733230394,5.002254313879462e-06,,,,,,2000
2000,2,5,0.7718567076821209,Direct inversion,0.7763700092210817,0.0045133015389607,0.0045133015389607,8.077872510892092e-07,,,,,,2000
2000,3,5,0.7718567076821209,Direct inversion,0.7647397798109236,-0.0071169278711973,0.0071169278711973,1.8480818244626107e-06,,,,,,2000
2000,4,5,0.7718567076821209,Direct inversion,0.8047359150391505,0.0328792073570296,0.0328792073570296,5.213647638369068e-05,,,,,,2000
2000,5,5,0.7718567076821209,Direct inversion,0.8523768627208971,0.0805201550387761,0.0805201550387761,0.0004238684577348,,,,,,2000
2000,1,5,0.7718567076821209,WGAN-GP,0.8064436316490173,0.0345869239668964,0.0345869239668964,5.835685103616761e-05,0.0339301694147452,0.1258835606572097,,,,2000
2000,2,5,0.7718567076821209,WGAN-GP,0.6939581632614136,-0.0778985444207073,0.0778985444207073,0.0001290816855668,0.0275110927002687,0.0527946921952943,,,,2000
2000,3,5,0.7718567076821209,WGAN-GP,0.7185553908348083,-0.0533013168473125,0.0533013168473125,7.331738515459207e-05,0.027460496753426,0.0628477094383221,,,,2000
