auctions,repetition,bidders,true_reserve,method,reserve_estimate,reserve_error,absolute_reserve_error,revenue_regret,max_bid_w1,latent_value_w1,validation_max_bid_w1,fold_reserve_sd,pooled_reserve,training_auctions,regularized_target,regularized_error,standard_error,ci_lower,ci_upper,covers_regularized_target,covers_exact_reserve,score_at_estimate,score_jacobian,score_roots_on_grid,fold_average_reference,orthogonal_correction,nuisance_cdf_error_at_target,nuisance_density_error_at_target,maxima_below_exact_reserve,maxima_below_regularized_target
500,1,5,0.7718567076821209,Orthogonal WGAN-DML,0.8623347625214409,0.09047805483932,0.09047805483932,0.0005680823000684,,,,,,,0.8318283572057762,0.0305064053156647,0.0468971922884399,0.7704162656360986,0.9542532594067832,1.0,1.0,-7.883458424515766e-07,-1.7708837567692317,1.0,0.7324635982513428,0.1298711642700981,,,,
500,2,5,0.7718567076821209,Orthogonal WGAN-DML,0.8421034231962325,0.0702467155141116,0.0702467155141116,0.0003029205139002,,,,,,,0.8318283572057762,0.0102750659904563,0.0496281728910884,0.7448322043296991,0.939374642062766,1.0,1.0,-3.114679768309259e-06,-1.9582204586431584,1.0,0.7556543151537577,0.0864491080424748,,,,
500,3,5,0.7718567076821209,Orthogonal WGAN-DML,0.7775527918542708,0.0056960841721499,0.0056960841721499,1.2974431295997846e-06,,,,,,,0.8318283572057762,-0.0542755653515053,0.0201036558415578,0.7381496264048174,0.8169559573037243,0.0,1.0,-2.5779754419996693e-07,-1.6351078901177685,1.0,0.7125745018323263,0.0649782900219445,,,,
500,4,5,0.7718567076821209,Orthogonal WGAN-DML,0.7774032957529224,0.0055465880708015,0.0055465880708015,1.2289100057572e-06,,,,,,,0.8318283572057762,-0.0544250614528537,0.0163768355430991,0.7453046980884482,0.8095018934173966,0.0,1.0,-4.379799461879941e-07,-1.744897886954781,1.0,0.7357341249783834,0.041669170774539,,,,
500,5,5,0.7718567076821209,Orthogonal WGAN-DML,1.0522901663996391,0.2804334587175184,0.2804334587175184,0.0133211374237334,,,,,,,0.8318283572057762,0.2204618091938631,0.0541501539271808,0.9461558647023648,1.1584244680969138,0.0,0.0,-3.715652668958569e-07,-1.5112904702049412,1.0,0.76017298301061,0.2921171833890293,,,,
500,1,5,0.7718567076821209,Empirical-local DML,0.8360779981307529,0.064221290448632,,0.00024383856468590537,,,,,,,0.831833385726398,0.004244612404354919,0.032869263807030466,0.7716542410689732,0.9005017551925326,1.0,1.0,-5.394463304156716e-06,-1.6526358570397408,1.0,,,-0.002125882250577917,-0.010092907562107609,1.0,2.0
500,2,5,0.7718567076821209,Empirical-local DML,0.8216972926083015,0.0498405849261806,,0.00013398410710752096,,,,,,,0.831833385726398,-0.01013609311809649,0.03436641844124494,0.7543391124634614,0.8890554727531416,1.0,1.0,-1.7902250261112583e-05,-1.8523140091545196,1.0,,,-0.0037287136157476194,-0.017158191406434306,1.0,1.0
500,3,5,0.7718567076821209,Empirical-local DML,0.7814786912868447,0.009621983604723772,,3.806080481449925e-06,,,,,,,0.831833385726398,-0.050354694439553316,0.02010194571723879,0.7420788776810566,0.8208785048926327,0.0,1.0,-1.0194448389647448e-05,-1.6153007540924087,1.0,,,-0.0018179620174496088,0.003961054275391021,0.0,1.0
500,4,5,0.7718567076821209,Empirical-local DML,0.7793139159301039,0.007457208247983016,,2.251516628026806e-06,,,,,,,0.831833385726398,-0.05251946979629407,0.01628826592591535,0.7473889147153098,0.811238917144898,0.0,1.0,-5.492449725938542e-06,-1.7446447165161971,1.0,,,-0.0038254166779505324,-0.008618287040480052,0.0,0.0
500,5,5,0.7718567076821209,Empirical-local DML,0.7992880387258972,0.027431331043776264,,3.4980608860646356e-05,,,,,,,0.831833385726398,-0.032545347000500824,0.03732763572424154,0.7261258727063837,0.8724502047454106,1.0,1.0,-5.815119214911845e-06,-0.9121878532602608,1.0,,,0.008103843300803232,0.04761494804091511,2.0,4.0
500,6,5,0.7718567076821209,Empirical-local DML,0.8172847080063002,0.04542800032417926,,0.00010815779199946363,,,,,,,0.831833385726398,-0.014548677720097825,0.030901680679296547,0.7567174138748789,0.8778520021377214,1.0,1.0,-5.518638576136326e-06,-1.3058984011540427,1.0,,,-8.307208307366948e-05,0.005647010044062983,1.0,1.0
500,7,5,0.7718567076821209,Empirical-local DML,0.8317697703008945,0.059913062618773605,,0.0002065268810933496,,,,,,,0.831833385726398,-6.361542550348265e-05,0.029260011536987762,0.7744201476883985,0.8891193929133905,1.0,0.0,-1.023141370275482e-05,-1.6202942328752938,1.0,,,-0.005874449177829781,-0.03602767617094564,0.0,2.0
