auctions,repetition,fold,training_auctions,heldout_auctions,fold_plugin_reserve,training_checkpoint_w1
500,1,1,333,167,0.7412349581718445,0.04387771953639681
500,1,2,333,167,0.7686616778373718,0.031507973521570934
500,1,3,334,166,0.687494158744812,0.051334896372995
500,2,1,333,167,0.7552242279052734,0.030946795623165047
500,2,2,333,167,0.718169093132019,0.026383025924337805
500,2,3,334,166,0.7935696244239807,0.028616336583354076
500,3,1,333,167,0.7072727680206299,0.05439512032331594
500,3,2,333,167,0.7067727446556091,0.03863293271798787
500,3,3,334,166,0.7236779928207397,0.04723399391552113
500,4,1,333,167,0.7478354573249817,0.037729331163551594
500,4,2,333,167,0.7123158574104309,0.03451068159961584
500,4,3,334,166,0.7470510601997375,0.04730628655266283
500,5,1,333,167,0.7049031853675842,0.0476499228471663
500,5,2,333,167,0.8301674723625183,0.047935369953788096
500,5,3,334,166,0.7454482913017273,0.047503474690075584
2000,1,1,1333,667,0.8040826320648193,0.03804074832677674
2000,1,2,1333,667,0.7633212804794312,0.02280035728833106
2000,1,3,1334,666,0.781608521938324,0.03486240171096666
2000,2,1,1333,667,0.7213715314865112,0.023796509186999548
2000,2,2,1333,667,0.7617148160934448,0.02631802110651628
2000,2,3,1334,666,0.7677014470100403,0.03351327103261206
2000,3,1,1333,667,0.6857059001922607,0.028552770299710498
2000,3,2,1333,667,0.7533016204833984,0.027965544196858445
2000,3,3,1334,666,0.7458156943321228,0.028233695094044248
2000,4,1,1333,667,0.7649654746055603,0.03545253181631067
2000,4,2,1333,667,0.7233402729034424,0.040198308745262555
2000,4,3,1334,666,0.7280977964401245,0.03791561657054723
2000,5,1,1333,667,0.8006750345230103,0.03332186329178681
2000,5,2,1333,667,0.7497269511222839,0.03950106585387772
2000,5,3,1334,666,0.7419484257698059,0.039869509008850876
10000,1,1,6666,3334,0.6683569550514221,0.04290479751167558
10000,1,2,6667,3333,0.7213775515556335,0.03025660937927583
10000,1,3,6667,3333,0.7683103084564209,0.027486358575924186
10000,2,1,6666,3334,0.7248736619949341,0.025419386529941513
10000,2,2,6667,3333,0.7933962345123291,0.032141017025993784
10000,2,3,6667,3333,0.7603451609611511,0.02980441400169433
10000,3,1,6666,3334,0.7979530692100525,0.03852507002810522
10000,3,2,6667,3333,0.749017059803009,0.024180838096123116
10000,3,3,6667,3333,0.6854467988014221,0.031427027045025244
10000,4,1,6666,3334,0.7941498160362244,0.029090150664561366
10000,4,2,6667,3333,0.7386239171028137,0.02665922245080425
10000,4,3,6667,3333,0.7988300323486328,0.03060016554030352
10000,5,1,6666,3334,0.7908629775047302,0.03154591392749773
10000,5,2,6667,3333,0.7804490923881531,0.0305438695966442
10000,5,3,6667,3333,0.7261893153190613,0.030417419212890123
